EMPLOYEE_ID,EMPLOYEE_NAME,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,MANAGER_ID,DEPARTMENT_ID
204,Hermann Baer,515.123.8888,07-Jun-02,PR_REP,10000,101,70
205,Shelley Higgins,515.123.8080,07-Jun-02,AC_MGR,12008,101,110
100,Steven King,515.123.4567,17-Jun-03,AD_PRES,24000,,90
101,Neena Kochhar,515.123.4568,21-Sep-05,AD_VP,17000,100,90
102,Lex De Haan,515.123.4569,13-Jan-01,AD_VP,17000,100,90
103,Alexander Hunold,590.423.4567,03-Jan-06,IT_PROG,9000,102,60
104,Bruce Ernst,590.423.4568,21-May-07,IT_PROG,6000,103,60
106,Valli Pataballa,590.423.4560,05-Feb-06,IT_PROG,4800,103,60
108,Nancy Greenberg,515.124.4569,17-Aug-02,FI_MGR,12008,101,100
111,Ismael Sciarra,515.124.4369,30-Sep-05,FI_ACCOUNT,7700,108,100
112,Jose Manuel Urman,515.124.4469,07-Mar-06,FI_ACCOUNT,7800,108,100
113,Luis Popp,515.124.4567,07-Dec-07,FI_ACCOUNT,6900,108,100
114,Den Raphaely,515.127.4561,07-Dec-02,PU_MAN,11000,100,30
115,Alexander Khoo,515.127.4562,18-May-03,PU_CLERK,3100,114,30
116,Shelli Baida,515.127.4563,24-Dec-05,PU_CLERK,2900,114,30
121,Adam Fripp,650.123.2234,10-Apr-05,ST_MAN,8200,100,50
129,Laura Bissot,650.124.5234,20-Aug-05,ST_CLERK,3300,121,50
